Date,Day,Weather,Exam Week,Special Event,Attendance
09-04-2025,Wednesday,Cloudy,No,None,191
10-04-2025,Thursday,Cloudy,No,None,196
11-04-2025,Friday,Rainy,No,None,
12-04-2025,Saturday,Sunny,No,None,196
13-04-2025,Sunday,Cloudy,No,None,181
14-04-2025,Monday,Cloudy,No,None,209
15-04-2025,Tuesday,Cloudy,No,None,194
16-04-2025,Wednesday,Sunny,No,None,211
17-04-2025,Thursday,Rainy,No,Holiday,143
18-04-2025,Friday,Sunny,No,None,223
19-04-2025,Saturday,Sunny,No,None,199
20-04-2025,Sunday,Rainy,No,None,159
21-04-2025,Monday,Sunny,No,,225
22-04-2025,Tuesday,Sunny,Yes,None,197
23-04-2025,Wednesday,Cloudy,No,None,200
24-04-2025,Thursday,Cloudy,Yes,,210
25-04-2025,Friday,Sunny,No,None,204
26-04-2025,Saturday,Sunny,No,None,182
27-04-2025,Sunday,Sunny,No,None,182
28-04-2025,Monday,Cloudy,No,None,205
29-04-2025,Tuesday,Cloudy,No,None,200
30-04-2025,Wednesday,Sunny,No,Tech,206
01-05-2025,Thursday,Sunny,No,None,226
02-05-2025,Friday,Sunny,No,None,210
03-05-2025,Saturday,Cloudy,No,None,190
04-05-2025,Sunday,Sunny,No,None,190
05-05-2025,Monday,Sunny,Yes,Tech,
06-05-2025,Tuesday,Sunny,Yes,None,189
07-05-2025,Wednesday,Cloudy,Yes,Festival,204
08-05-2025,Thursday,Rainy,Yes,None,136
09-05-2025,Friday,Sunny,Yes,None,185
10-05-2025,Saturday,Sunny,Yes,None,150
11-05-2025,Sunday,Sunny,Yes,Holiday,136
12-05-2025,Monday,Cloudy,No,None,194
13-05-2025,Tuesday,Cloudy,No,None,196
14-05-2025,Wednesday,,No,Tech,207
15-05-2025,Thursday,Rainy,No,None,178
